a,b,V0,R,C,k,mws_projection_fraction,mws_local_snr_dB,mws_peak_amplitude,mws_rough_frequency_Hz,mws_frequency_Hz,frequency_error_Hz,abs_frequency_error_Hz,original_projection_energy,original_energy_fraction,combined_score
1,0.8,0.8,0.25,0.12,0.04,0.0404538364612933,26.698626746359,0.000876580763223162,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.12,0.08,0.0768943341548128,25.419261670967,0.00134648599860174,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.12,0.14,0.105135633336492,24.0811805006386,0.00171230706987123,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.12,0.22,0.125017470810411,25.4056919376823,0.00194728484264197,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.12,0.32,0.142184527771148,25.883030447033,0.00231101122075498,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.12,0.48,0.136785065990985,26.6869590494158,0.00240766752213232,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.12,0.7,0.14788496561898,28.0715024339814,0.00298319760513248,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.2,0.04,0.0339348044875649,24.988436768853,0.000869064342064069,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.2,0.08,0.0713969546578779,23.0705575705815,0.00132390015409022,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.2,0.14,0.110320889681335,24.9013571843146,0.00182363436228868,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.2,0.22,0.124317917343395,24.4482325992757,0.00203110146121254,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.2,0.32,0.1346725897363,28.1888705129385,0.00229733499018821,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.2,0.48,0.142876594427016,27.0696599768722,0.00255732502608041,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.2,0.7,0.143794325851413,28.2902992419178,0.00307043588008276,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.35,0.04,0.0488039662567379,23.0493887433955,0.000800905451325161,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.35,0.08,0.0777989528281069,22.8034225474975,0.00106185488117469,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.35,0.14,0.110572615464872,26.1364499017022,0.00138044616308302,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.35,0.22,0.134207185399774,25.4166322555077,0.00162941455425455,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.35,0.32,0.134395358593448,28.2354142730406,0.00180251008808883,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.35,0.48,0.142404878688808,28.7061934840497,0.00218766119971064,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.35,0.7,0.142713600910525,25.5078004435895,0.00428153374722036,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.6,0.04,0.0623478358472116,21.7078664175742,0.000570971641111742,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.6,0.08,0.119411562748979,24.4756860394395,0.000877703689891828,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.25,0.6,0.14,0.132319167047592,25.6439650155434,0.00105226620090398,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
