delta_f_Hz,SNR_dB,success_rate,mean_abs_frequency_error_Hz
0.0005,-40,0,NaN
0.001,-40,0,NaN
0.0015,-40,0,NaN
0.002,-40,0,NaN
0.0025,-40,0,NaN
0.005,-40,0,NaN
0.01,-40,0,NaN
0.02,-40,0,NaN
0.0005,-36,0,NaN
0.001,-36,0,NaN
0.0015,-36,0,NaN
0.002,-36,0,NaN
0.0025,-36,0,NaN
0.005,-36,0,NaN
0.01,-36,0,NaN
0.02,-36,0,NaN
0.0005,-32,0,NaN
0.001,-32,0,NaN
0.0015,-32,0,NaN
0.002,-32,0,NaN
0.0025,-32,0,NaN
0.005,-32,0,NaN
0.01,-32,0,NaN
0.02,-32,0,NaN
0.0005,-28,0,NaN
0.001,-28,0,NaN
0.0015,-28,0,NaN
0.002,-28,0,NaN
0.0025,-28,0,NaN
0.005,-28,0,NaN
0.01,-28,0.5,8.35643511569728e-05
0.02,-28,0.25,0.000110631119640381
0.0005,-24,0,NaN
0.001,-24,0,NaN
0.0015,-24,0,NaN
0.002,-24,0.25,0.000114179829260763
0.0025,-24,1,0.00017033074034023
0.005,-24,1,0.000115975773592458
0.01,-24,1,0.000150197918372008
0.02,-24,1,9.67876962227887e-05
